PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2000,34.61,27.55,12.7,2.71,34.53,201.86,353.53,103.56,93.9,0.04,1.18,3.34,869.51
PRECTOTCORR_SUM,2001,30.63,3.99,11.98,40.18,74.03,174.92,301.67,226.48,44.66,0.76,0.63,9.99,919.92
PRECTOTCORR_SUM,2002,15.66,66.86,25.85,22.8,20.09,49.59,104.59,205.33,197.53,5.91,0,7.36,721.57
PRECTOTCORR_SUM,2003,58.02,45.4,19.57,14.26,13.79,83.17,369.18,266.14,157.88,8.43,5.38,17.01,1058.23
PRECTOTCORR_SUM,2004,72.59,4.56,0,52.33,54.04,118.7,159.69,412.07,21.48,47.07,0.13,8.6,951.26
PRECTOTCORR_SUM,2005,49.84,61.24,45.39,6.86,7.53,105.79,269.87,149.25,216.95,2.31,0.95,0.19,916.17
PRECTOTCORR_SUM,2006,14.77,2.67,73.74,4.64,70.76,80.14,302.66,170.46,96.06,15.16,8.73,15.52,855.31
PRECTOTCORR_SUM,2007,3.3,149.98,58.65,11.92,14.55,87.94,207.35,308.63,70.09,7.09,2.2,3.72,925.42
PRECTOTCORR_SUM,2008,18.7,9.24,0.92,43.66,129.68,417.91,250.03,375.36,251.52,14.49,4.73,2.19,1518.43
PRECTOTCORR_SUM,2009,16.66,23.72,31.57,49.2,33.53,67.68,233.06,189.53,176.85,36.12,3.24,0.03,861.19
PRECTOTCORR_SUM,2010,11.76,24.75,1.09,1.14,12.83,150.67,472.26,308.3,354.73,6.99,7.14,31.06,1382.72
PRECTOTCORR_SUM,2011,5.96,35.9,11.64,17.74,50.64,247.49,291.28,355.19,271.36,7.59,0.89,7.05,1302.73
PRECTOTCORR_SUM,2012,27.16,2.96,8.38,40.04,2.52,35.45,254.39,289.5,192.64,2.73,3.59,19.45,878.81
PRECTOTCORR_SUM,2013,52.34,128.49,20.23,3.31,7.3,341.77,401.98,405.82,83.22,21.79,7.54,6.38,1480.17
PRECTOTCORR_SUM,2014,77.1,69.77,50.29,34.9,32.53,43.05,137.89,179.28,264.94,23.35,2.57,24.43,940.1
PRECTOTCORR_SUM,2015,29.14,39.79,146.21,55.48,12.86,121.34,390.72,242.55,79.62,13.76,4.29,17.89,1153.65
PRECTOTCORR_SUM,2016,19.88,30.15,98.18,24.55,78.03,129.49,288.87,241.33,48.07,5.37,0.15,5.59,969.66
PRECTOTCORR_SUM,2017,117.87,21.66,38.78,56.06,60.38,182.86,257.23,325.03,151.64,0.05,3.07,20.49,1235.12
PRECTOTCORR_SUM,2018,14.09,36,22.46,46.04,41.04,177.11,353.4,372.33,302.63,10.02,24.88,9.89,1409.89
PRECTOTCORR_SUM,2019,66.08,115.98,49.58,38.11,36.43,58.89,273.21,328.12,143.32,8.87,37.22,33.7,1189.51
PRECTOTCORR_SUM,2020,101.68,27.79,121.79,71.36,92.74,117.54,291.94,299.42,23.43,0.02,29.85,17.34,1194.9
PRECTOTCORR_SUM,2021,21.93,32.08,26.06,74.56,83.77,126.56,342.51,201.29,233.66,40.41,0.55,9.93,1193.31
PRECTOTCORR_SUM,2022,161.96,60.3,2.65,3.12,79.38,100.38,490.31,276.68,255.19,39.94,6.91,1.98,1478.8
PRECTOTCORR_SUM,2023,47.91,16.57,90.7,101.59,137.08,163.02,535.39,440.45,71.53,30,13.04,3.98,1651.26
PRECTOTCORR_SUM,2024,4.87,68.45,90.42,34.86,14.37,76.63,311.23,369.98,204.77,2.32,0,40.97,1218.87
PS,2000,91.38,91.25,91.07,90.69,90.46,90.22,90.18,90.36,90.71,91.06,91.38,91.47,90.85
PS,2001,91.33,91.22,91.14,90.95,90.44,90.2,90.23,90.45,90.79,91.13,91.49,91.67,90.92
PS,2002,91.47,91.56,91.2,90.83,90.41,90.28,90.17,90.42,90.9,91.23,91.44,91.51,90.95
PS,2003,91.61,91.39,91.22,90.94,90.6,90.12,90.35,90.46,90.74,91.27,91.48,91.6,90.98
PS,2004,91.44,91.4,91.14,90.78,90.51,90.35,90.23,90.39,90.87,91.38,91.55,91.54,90.96
PS,2005,91.45,91.4,91.26,91.08,90.68,90.19,90.27,90.35,90.78,91.28,91.45,91.49,90.97
PS,2006,91.48,91.39,91.2,90.87,90.57,90.4,90.19,90.46,90.81,91.34,91.46,91.58,90.97
PS,2007,91.62,91.32,91.25,90.97,90.64,90.27,90.16,90.36,90.62,91.17,91.43,91.51,90.94
PS,2008,91.41,91.33,91.1,90.94,90.52,90.25,90.22,90.4,90.78,91.25,91.45,91.52,90.93
PS,2009,91.56,91.3,91.2,90.94,90.56,90.31,90.17,90.47,90.77,91.21,91.44,91.51,90.95
PS,2010,91.62,91.4,91.17,90.89,90.5,90.39,90.4,90.52,90.77,91.07,91.37,91.26,90.94
PS,2011,91.35,91.31,91.15,91.05,90.56,90.2,90.28,90.41,90.64,91.21,91.42,91.45,90.92
PS,2012,91.39,91.25,91.12,90.93,90.61,90.1,90.09,90.38,90.72,91.25,91.33,91.38,90.88
PS,2013,91.46,91.4,91.23,90.9,90.41,90.19,90.15,90.44,90.76,91.18,91.48,91.44,90.92
PS,2014,91.62,91.28,91.36,91.08,90.73,90.16,90.25,90.43,90.76,91.35,91.42,91.54,91
PS,2015,91.6,91.42,91.4,91.01,90.67,90.37,90.28,90.51,90.87,91.35,91.51,91.59,91.05
PS,2016,91.53,91.51,91.32,90.86,90.56,90.43,90.28,90.46,90.74,91.08,91.44,91.53,90.97
